0.0003,1
0.0006,2
0.0009,4
0.0013,8
0.0018,16
0.0021,32
0.0026,64
0.0031,128
0.0037,256
0.0046,512
0.0057,1024
0.0077,2048
0.0007,1
0.0012,2
0.0017,4
0.0022,8
0.0026,16
0.003,32
0.0034,64
0.0037,128
0.0042,256
0.0048,512
0.0058,1024
0.0072,2048
0.0003,1
0.0007,2
0.0011,4
0.0015,8
0.002,16
0.0026,32
0.0034,64
0.0039,128
0.0044,256
0.0051,512
0.0063,1024
0.0081,2048
0.0007,1
0.0012,2
0.0017,4
0.0024,8
0.0029,16
0.0034,32
0.004,64
0.0045,128
0.0051,256
0.0059,512
0.007,1024
0.0087,2048
0.0004,1
0.0008,2
0.0012,4
0.0017,8
0.0023,16
0.0032,32
0.0037,64
0.0042,128
0.0047,256
0.0056,512
0.0071,1024
0.0089,2048
0.0006,1
0.0012,2
0.0017,4
0.0023,8
0.0029,16
0.0035,32
0.004,64
0.0046,128
0.0052,256
0.0061,512
0.0072,1024
0.0089,2048
0.0004,1
0.0009,2
0.0016,4
0.0021,8
0.0027,16
0.0031,32
0.0035,64
0.0041,128
0.0049,256
0.0058,512
0.007,1024
0.0092,2048
0.0007,1
0.0012,2
0.0018,4
0.0022,8
0.0028,16
0.0032,32
0.0038,64
0.0043,128
0.0049,256
0.0057,512
0.0069,1024
0.0091,2048
0.0006,1
0.0012,2
0.0017,4
0.0021,8
0.0026,16
0.0032,32
0.0036,64
0.0041,128
0.0047,256
0.0056,512
0.0071,1024
0.0091,2048
0.0006,1
0.001,2
0.0015,4
0.0019,8
0.0024,16
0.0027,32
0.0032,64
0.0038,128
0.0044,256
0.0053,512
0.0063,1024
0.0083,2048
