Interacao, Erro Quadratico Medio
0, 31.029356002807617
1, 23.997594833374023
2, 19.8712100982666
3, 16.808034896850586
4, 14.66618537902832
5, 12.894723892211914
6, 11.572331428527832
7, 10.535785675048828
8, 9.72178840637207
9, 8.971575736999512
10, 8.304920196533203
11, 7.775303363800049
12, 7.3264970779418945
13, 6.920640468597412
14, 6.57194709777832
15, 6.237346172332764
16, 5.9431233406066895
17, 5.676126956939697
18, 5.437992095947266
19, 5.228209495544434
20, 5.025523662567139
21, 4.8303093910217285
22, 4.660545349121094
23, 4.514169692993164
24, 4.369483470916748
25, 4.240609169006348
26, 4.116598606109619
27, 3.9952194690704346
28, 3.8864898681640625
29, 3.7804417610168457
30, 3.6859467029571533
31, 3.5958242416381836
32, 3.50445294380188
33, 3.4211974143981934
34, 3.340864896774292
35, 3.2670154571533203
36, 3.1937975883483887
37, 3.1236395835876465
38, 3.057779550552368
39, 2.9940080642700195
40, 2.937426805496216
41, 2.882063865661621
42, 2.827641010284424
43, 2.775294065475464
44, 2.7248330116271973
45, 2.6748201847076416
46, 2.629777669906616
47, 2.586390733718872
48, 2.5439505577087402
49, 2.501009702682495
50, 2.463005781173706
51, 2.4268298149108887
52, 2.3910622596740723
53, 2.353200674057007
54, 2.3180346488952637
55, 2.2841615676879883
56, 2.2503905296325684
57, 2.217801332473755
58, 2.1850361824035645
59, 2.1536831855773926
60, 2.123145580291748
61, 2.092798948287964
62, 2.06457781791687
63, 2.03808331489563
64, 2.0132410526275635
65, 1.9871832132339478
66, 1.9617528915405273
67, 1.938225269317627
68, 1.9159702062606812
69, 1.8937687873840332
70, 1.8717015981674194
71, 1.8491312265396118
72, 1.8282928466796875
73, 1.806739091873169
74, 1.787969946861267
75, 1.7683154344558716
76, 1.7501612901687622
77, 1.732468843460083
78, 1.7131717205047607
79, 1.6965391635894775
80, 1.6786643266677856
81, 1.6632760763168335
82, 1.6488138437271118
83, 1.6330888271331787
84, 1.618027925491333
85, 1.603614330291748
86, 1.5888515710830688
87, 1.5746424198150635
88, 1.5608259439468384
89, 1.5459293127059937
90, 1.5306864976882935
91, 1.5168054103851318
92, 1.502748727798462
93, 1.4888598918914795
94, 1.4758949279785156
95, 1.4632867574691772
96, 1.4523099660873413
97, 1.4407901763916016
98, 1.4282917976379395
99, 1.4173927307128906
100, 1.4072060585021973
101, 1.3962889909744263
102, 1.3853288888931274
103, 1.3749258518218994
104, 1.3641103506088257
105, 1.3537482023239136
106, 1.3443876504898071
107, 1.3338217735290527
108, 1.3237898349761963
109, 1.3136714696884155
110, 1.303113341331482
111, 1.2938920259475708
112, 1.284595012664795
113, 1.2757008075714111
114, 1.2663637399673462
115, 1.2576382160186768
116, 1.2493531703948975
117, 1.2408491373062134
118, 1.2322909832000732
119, 1.2238249778747559
120, 1.2153077125549316
121, 1.2066720724105835
122, 1.1982178688049316
123, 1.1905514001846313
124, 1.1824967861175537
125, 1.175073504447937
126, 1.167615294456482
127, 1.1603163480758667
128, 1.1524426937103271
129, 1.145132303237915
130, 1.137709140777588
131, 1.1307061910629272
132, 1.123437762260437
133, 1.1172956228256226
134, 1.1111500263214111
135, 1.1042625904083252
136, 1.0974137783050537
137, 1.0910075902938843
138, 1.0847299098968506
139, 1.0783195495605469
140, 1.0721430778503418
141, 1.0659987926483154
142, 1.0597587823867798
143, 1.0534896850585938
144, 1.047733187675476
145, 1.0418767929077148
146, 1.0354863405227661
147, 1.0306466817855835
148, 1.0252480506896973
149, 1.019286036491394
150, 1.0131492614746094
151, 1.0075604915618896
152, 1.003071904182434
153, 0.9991371631622314
154, 0.9943782687187195
155, 0.9888176321983337
156, 0.9838263392448425
157, 0.9786009788513184
158, 0.973265528678894
159, 0.9685792326927185
160, 0.9641713500022888
161, 0.9592567086219788
162, 0.9548822045326233
163, 0.9495794773101807
164, 0.9454982280731201
165, 0.9413264393806458
166, 0.9367659091949463
167, 0.9322627186775208
168, 0.9281051754951477
169, 0.9237504601478577
170, 0.9194808602333069
171, 0.9147017002105713
172, 0.9106116890907288
173, 0.9068543910980225
174, 0.9031732678413391
175, 0.8988727927207947
176, 0.894402265548706
177, 0.8901339769363403
178, 0.8861948251724243
179, 0.8825348019599915
180, 0.8788197040557861
181, 0.874809741973877
182, 0.8708440065383911
183, 0.8672173023223877
184, 0.8631147742271423
185, 0.85941082239151
