Interação, Acurácia, Erro Quadrático médio
0, 0.047619047619047616, 8.52932043981659
1, 0.5714285714285714, 2.2295453293489365
2, 0.7619047619047619, 1.3873840884638913
3, 0.8571428571428571, 1.0083229735061185
4, 0.8571428571428571, 1.1788196999096343
5, 0.7619047619047619, 1.3548266406109168
6, 0.9047619047619048, 0.8397036730137696
7, 0.9523809523809523, 0.7690305234706742
8, 0.9523809523809523, 0.7267112310970593
9, 0.9523809523809523, 0.6967124205446076
10, 0.9523809523809523, 0.6732958030458198
11, 0.9523809523809523, 0.6536464815092555
12, 0.9523809523809523, 0.6375012808156518
13, 0.9523809523809523, 0.6234136570748641
14, 0.9523809523809523, 0.6115495580594182
15, 0.9523809523809523, 0.6002711905905214
16, 0.9523809523809523, 0.5899634669281059
17, 0.9523809523809523, 0.5804563217625996
18, 0.9523809523809523, 0.5738462651425893
19, 0.9523809523809523, 0.566527418325236
20, 0.9523809523809523, 0.5596645283010497
21, 0.9523809523809523, 0.5535217869499655
22, 0.9523809523809523, 0.5504417858694233
23, 0.9523809523809523, 0.5445336947487375
24, 0.9523809523809523, 0.5398912083555637
25, 0.9523809523809523, 0.5366339703425976
26, 0.9523809523809523, 0.5340545165068651
27, 0.9523809523809523, 0.5306588385191806
28, 0.9523809523809523, 0.5289950697725863
29, 0.9523809523809523, 0.5265726557110023
30, 0.9523809523809523, 0.5245907430398566
31, 0.9523809523809523, 0.5217985508849077
32, 0.9523809523809523, 0.519953963805917
33, 0.9523809523809523, 0.5184599143015028
34, 0.9523809523809523, 0.5166127651165319
35, 0.9523809523809523, 0.5161807492440468
36, 0.9523809523809523, 0.5135129216392398
37, 0.9523809523809523, 0.5118212209294958
38, 0.9523809523809523, 0.510821824154821
39, 0.9523809523809523, 0.5113930575153047
40, 0.9523809523809523, 0.5111750237088016
41, 0.9523809523809523, 0.5105275910785854
42, 0.9523809523809523, 0.5087351487574219
43, 0.9523809523809523, 0.508794162028499
44, 0.9523809523809523, 0.5082342469335583
45, 0.9523809523809523, 0.5076899599193265
46, 0.9523809523809523, 0.5081159200135745
47, 0.9523809523809523, 0.5079871166700959
48, 0.9523809523809523, 0.5068902628563859
49, 0.9523809523809523, 0.5066625770229349
50, 0.9523809523809523, 0.5067610145494786
51, 0.9523809523809523, 0.50619528101886
52, 0.9523809523809523, 0.505974255404294
53, 0.9523809523809523, 0.505910430561167
54, 0.9523809523809523, 0.5059572066173711
55, 0.9523809523809523, 0.5060052759166472
56, 0.9523809523809523, 0.5058211597768582
57, 0.9523809523809523, 0.5056047177058722
58, 0.9523809523809523, 0.5040409445505686
59, 0.9523809523809523, 0.5040527995093134
60, 0.9523809523809523, 0.5032869656394003
61, 0.9523809523809523, 0.5031403112902969
62, 0.9523809523809523, 0.5031901645655295
63, 0.9523809523809523, 0.5029781664561801
64, 0.9523809523809523, 0.5029406148638109
65, 0.9523809523809523, 0.502387343446786
66, 0.9523809523809523, 0.5023499258076701
67, 0.9523809523809523, 0.5024105811070335
68, 0.9523809523809523, 0.5021438452095847
