Interação, Acurácia, Erro Quadrático médio
0, 0.14285714285714285, 12.80868641369918
1, 0.38095238095238093, 3.362776849413335
2, 0.47619047619047616, 2.8333178702165163
3, 0.5238095238095238, 2.503571827475516
4, 0.6190476190476191, 2.3097702066948265
5, 0.5238095238095238, 2.280601243160888
6, 0.6190476190476191, 2.199243662579034
7, 0.6666666666666666, 2.0353553004265468
8, 0.7142857142857143, 1.826366214851308
9, 0.8095238095238095, 1.6242484369160448
10, 0.7142857142857143, 1.880916145109089
11, 0.8095238095238095, 1.493705284170937
12, 0.8095238095238095, 1.5234629073531119
13, 0.8095238095238095, 1.5016793333793803
14, 0.8095238095238095, 1.4842464527993016
15, 0.8571428571428571, 1.4371538456822726
16, 0.8571428571428571, 1.3683400519228814
17, 0.8571428571428571, 1.3428809868497333
18, 0.9523809523809523, 1.2932025473169477
19, 0.9047619047619048, 1.2676553036469618
20, 0.8095238095238095, 1.4333181415767993
21, 0.8095238095238095, 1.2696183346728982
22, 0.8095238095238095, 1.234855607538178
23, 0.8095238095238095, 1.2161404273856653
24, 0.8095238095238095, 1.204773826921455
25, 0.8571428571428571, 1.1935583101281453
26, 0.9047619047619048, 1.1858046109669278
27, 0.9047619047619048, 1.1772344493799698
28, 0.9047619047619048, 1.1707900451852464
29, 0.9047619047619048, 1.1647759617138471
30, 0.9047619047619048, 1.1609677919145454
31, 0.9047619047619048, 1.1555158922871052
32, 0.9047619047619048, 1.1534258613521948
33, 0.9047619047619048, 1.149552822458494
34, 0.9047619047619048, 1.146771227887537
35, 0.9047619047619048, 1.1443360017375825
36, 0.9047619047619048, 1.141875625003237
37, 0.9047619047619048, 1.1406833080356005
38, 0.9047619047619048, 1.138325496084889
39, 0.9047619047619048, 1.1368940257854743
40, 0.9047619047619048, 1.1328584344032857
41, 0.9047619047619048, 1.126393829547929
42, 0.9047619047619048, 1.1281675373690392
43, 0.9047619047619048, 1.1235957082598036
