Interação, Acurácia, Erro Quadrático médio
0, 0.3333333333333333, 10.86225578893774
1, 0.5238095238095238, 2.367066133930252
2, 0.8571428571428571, 1.0287055483497796
3, 0.8571428571428571, 0.8292512200292601
4, 1.0, 0.6298206580104403
5, 1.0, 0.5666057205825202
6, 1.0, 0.5521025185964216
7, 1.0, 0.5509482759789291
8, 1.0, 0.5482423609459692
9, 1.0, 0.5457148638108134
10, 1.0, 0.5432530507377601
11, 1.0, 0.5410564025053434
12, 1.0, 0.5379542661605219
13, 1.0, 0.5363472451525139
14, 1.0, 0.5357880533987076
15, 1.0, 0.5341437079004421
16, 1.0, 0.5328373146517598
17, 1.0, 0.5331655029185496
18, 1.0, 0.5310375060729368
19, 1.0, 0.5312904683136455
20, 1.0, 0.5306833838735772
21, 1.0, 0.5294628633026346
22, 1.0, 0.5276906585002589
23, 1.0, 0.5277066137407828
24, 1.0, 0.5258579386746953
25, 1.0, 0.5238323251379419
26, 1.0, 0.5246784954094438
27, 1.0, 0.5221463759907351
28, 1.0, 0.5215522076326535
29, 1.0, 0.5202352942086821
30, 1.0, 0.5205234394632887
31, 1.0, 0.5192892423156658
32, 1.0, 0.5180800209984592
33, 1.0, 0.5170532975515195
34, 1.0, 0.5166663138136995
35, 1.0, 0.5157150073973454
36, 1.0, 0.5152967415320572
37, 1.0, 0.5157171660415245
38, 1.0, 0.5157524041081065
39, 1.0, 0.5146589395548048
40, 1.0, 0.5137636589934234
41, 1.0, 0.5128114237424225
42, 1.0, 0.5126269854204434
43, 1.0, 0.5115543583019478
44, 1.0, 0.5108254158883503
45, 1.0, 0.5100504943017637
46, 1.0, 0.5107926261363893
47, 1.0, 0.5099744036341374
48, 1.0, 0.5093722666398518
49, 1.0, 0.5078880627444824
50, 1.0, 0.5071725751010097
51, 1.0, 0.5065871658062943
52, 1.0, 0.5058730817618953
53, 1.0, 0.5050445513535815
54, 1.0, 0.506522920393641
55, 1.0, 0.5066039488449331
56, 1.0, 0.5060689535355527
57, 1.0, 0.5055581018567009
58, 1.0, 0.5049406970635674
59, 1.0, 0.5044535063663101
60, 1.0, 0.5037107660016125
61, 1.0, 0.5032541905240474
62, 1.0, 0.5026689547905235
63, 1.0, 0.5022058901655571
64, 1.0, 0.5018171586195324
65, 1.0, 0.5026587552285413
66, 1.0, 0.5020587281535429
67, 1.0, 0.5017982071899391
68, 1.0, 0.5018026232517125
