Interação, Acurácia, Erro Quadrático médio
0, 0.09523809523809523, 7.380456319279413
1, 0.47619047619047616, 3.1722533191509026
2, 0.5714285714285714, 2.2482084423587025
3, 0.8571428571428571, 1.3574140399775712
4, 0.9523809523809523, 0.7277568140002014
5, 1.0, 0.6455625194978417
6, 1.0, 0.5896296330684341
7, 1.0, 0.4634510051061576
8, 1.0, 0.4085655256031948
9, 1.0, 0.4418461488176027
10, 1.0, 0.42574289501656065
11, 1.0, 0.4219091992981439
12, 1.0, 0.4179532422791776
13, 1.0, 0.41436794752171896
14, 1.0, 0.41075841694963033
15, 1.0, 0.40930821662383177
16, 1.0, 0.4079455406581504
17, 1.0, 0.4059630127501274
18, 1.0, 0.4047564664974438
19, 1.0, 0.40358628060556545
20, 1.0, 0.4000559617407348
21, 1.0, 0.3982811578239707
22, 1.0, 0.39585334333783484
23, 1.0, 0.39404857925986564
24, 1.0, 0.3942912153001155
25, 1.0, 0.39280959334994164
26, 1.0, 0.39201460947134353
27, 1.0, 0.39096951499354354
28, 1.0, 0.3893650364333109
29, 1.0, 0.38917193697750024
30, 1.0, 0.3869575025700609
31, 1.0, 0.38503138530475733
32, 1.0, 0.3851013366160434
33, 1.0, 0.38335966754989037
34, 1.0, 0.38320248834851195
35, 1.0, 0.3834789766914389
36, 1.0, 0.38493712016697595
37, 1.0, 0.3844997666872059
38, 1.0, 0.3859921449508074
39, 1.0, 0.3860195334593242
40, 1.0, 0.3860633155776576
41, 1.0, 0.38590498047673866
42, 1.0, 0.38483644751844276
43, 1.0, 0.38487221317139336
44, 1.0, 0.3839026679965338
45, 1.0, 0.3834954742027345
46, 1.0, 0.38324076636099375
47, 1.0, 0.3836863200431358
48, 1.0, 0.38187654493081136
49, 1.0, 0.38261687572025405
50, 1.0, 0.38348413618920557
51, 1.0, 0.38327782818305967
52, 1.0, 0.3815052831013571
53, 1.0, 0.3823949383842138
54, 1.0, 0.3829722934075301
55, 1.0, 0.3812356005056018
56, 1.0, 0.38213882084243245
