Interação, Acurácia, Erro Quadrático médio
0, 0.047619047619047616, 9.669075055105404
1, 0.2857142857142857, 3.2793594400664587
2, 0.6666666666666666, 2.4185412144901006
3, 0.9047619047619048, 1.1692730780872127
4, 0.9523809523809523, 0.6396727781132812
5, 1.0, 0.49503543364987945
6, 1.0, 0.3736476014733569
7, 1.0, 0.36956209751296926
8, 1.0, 0.3646458497808481
9, 1.0, 0.35956179438474645
10, 1.0, 0.35456386174174986
11, 1.0, 0.34854435220901553
12, 1.0, 0.3428392372834412
13, 1.0, 0.33745075387397055
14, 1.0, 0.33236807847153377
15, 1.0, 0.32777159132610995
16, 1.0, 0.3245815234322445
17, 1.0, 0.31958993459096907
18, 1.0, 0.3160486050638714
19, 1.0, 0.3126904500415635
20, 1.0, 0.3094961232701272
21, 1.0, 0.30668879690674344
22, 1.0, 0.3048142067098181
23, 1.0, 0.30207422927355915
24, 1.0, 0.2996594588163554
25, 1.0, 0.29802990014276
26, 1.0, 0.29624659376804025
27, 1.0, 0.2959911290323505
28, 1.0, 0.29465206644323566
29, 1.0, 0.2944793712880558
30, 1.0, 0.29399738108285906
31, 1.0, 0.2922370269404257
32, 1.0, 0.292156926256411
33, 1.0, 0.29097173708447394
34, 1.0, 0.290215678225267
35, 1.0, 0.29021120874002426
36, 1.0, 0.28860516531519503
37, 1.0, 0.28862813066854776
38, 1.0, 0.28834801888113964
39, 1.0, 0.28841626421568883
40, 1.0, 0.2868687270314161
41, 1.0, 0.2863401586823918
42, 1.0, 0.2856632839050591
43, 1.0, 0.2856405914712354
44, 1.0, 0.28449317806259
45, 1.0, 0.28434725970493335
46, 1.0, 0.2822983121127504
47, 1.0, 0.28317966568027114
48, 1.0, 0.28204024832024144
49, 1.0, 0.28151922919928013
50, 1.0, 0.28141516663846267
51, 1.0, 0.2811725846581345
52, 1.0, 0.28071603644369447
53, 1.0, 0.2805399810449876
54, 1.0, 0.2801346808630609
55, 1.0, 0.2807004202791948
56, 1.0, 0.28010112614450555
57, 1.0, 0.2781357319224284
58, 1.0, 0.2775760011220796
59, 1.0, 0.2778220231053825
60, 1.0, 0.2775408326226893
61, 1.0, 0.2768965056064812
62, 1.0, 0.2763377074622627
63, 1.0, 0.27620438149805454
64, 1.0, 0.2760000688999136
65, 1.0, 0.2771436906947293
66, 1.0, 0.2765994280790009
67, 1.0, 0.27662879067259877
68, 1.0, 0.27610193102638114
69, 1.0, 0.27614394051483415
70, 1.0, 0.2758484202008663
71, 1.0, 0.2756728930305195
72, 1.0, 0.2756513995356497
