Interação, Acurácia, Erro Quadrático médio
0, 0.09523809523809523, 9.245808559654936
1, 0.5714285714285714, 2.3528862927730936
2, 0.7142857142857143, 1.8704659403260506
3, 0.8095238095238095, 1.1528573448110861
4, 0.9047619047619048, 0.7649428684699172
5, 0.8571428571428571, 0.799466586475477
6, 0.9047619047619048, 0.7363630770962172
7, 0.9047619047619048, 0.7127125453036003
8, 0.9047619047619048, 0.6960655555733035
9, 0.9047619047619048, 0.6834092067687502
10, 0.9047619047619048, 0.6740751105696882
11, 0.9047619047619048, 0.6659340656508501
12, 0.9047619047619048, 0.6586368697574917
13, 0.9047619047619048, 0.6529004840517729
14, 0.9047619047619048, 0.6470020682396024
15, 0.9047619047619048, 0.6416641558978076
16, 0.9047619047619048, 0.6368746801054198
17, 0.9047619047619048, 0.6331875580593007
18, 0.9047619047619048, 0.6284406715010402
19, 0.9047619047619048, 0.6257735915931624
20, 0.9047619047619048, 0.6222682984022482
21, 0.9047619047619048, 0.6188279988700222
22, 0.9047619047619048, 0.6155927155353065
23, 0.9047619047619048, 0.6135503455003221
24, 0.9047619047619048, 0.6105308891301282
25, 0.9047619047619048, 0.6085599492401593
26, 0.9047619047619048, 0.6067008676177217
27, 0.9047619047619048, 0.6049818663785351
28, 0.9047619047619048, 0.6044005392975433
29, 0.9047619047619048, 0.6029177564111077
30, 0.9047619047619048, 0.602531504966934
31, 0.9047619047619048, 0.6017822402400729
32, 0.9047619047619048, 0.6018992162039251
33, 0.9047619047619048, 0.6019953794461678
34, 0.9047619047619048, 0.5985854289543111
35, 0.9047619047619048, 0.5981416054239928
36, 0.9047619047619048, 0.5979058581665878
37, 0.9047619047619048, 0.5966165011338513
38, 0.9047619047619048, 0.5963338344218816
39, 0.9047619047619048, 0.5930235974562234
40, 0.9047619047619048, 0.5935621556748052
41, 0.9047619047619048, 0.591715052996565
42, 0.9047619047619048, 0.5915173374101278
43, 0.9047619047619048, 0.5902896952271577
44, 0.9047619047619048, 0.5890299991733879
45, 0.9047619047619048, 0.5875730148770939
46, 0.9047619047619048, 0.5876122137150116
47, 0.9047619047619048, 0.5859078864565737
48, 0.9047619047619048, 0.585068126033191
49, 0.9047619047619048, 0.58377073075127
50, 0.9047619047619048, 0.5837368347382436
51, 0.9047619047619048, 0.5825107916038472
52, 0.9047619047619048, 0.581304157588397
53, 0.9047619047619048, 0.5799412973952075
54, 0.9047619047619048, 0.5804182905539745
55, 0.9047619047619048, 0.57863797354333
56, 0.9047619047619048, 0.5788425892738601
57, 0.9047619047619048, 0.5771445857451605
58, 0.9047619047619048, 0.5751684617947754
59, 0.9047619047619048, 0.5738581083757504
60, 0.9047619047619048, 0.5730424166947965
61, 0.9047619047619048, 0.5722154202004656
62, 0.9047619047619048, 0.5712125045446277
63, 0.9047619047619048, 0.5711661536529997
64, 0.9047619047619048, 0.5697518237661264
65, 0.9047619047619048, 0.5690737219907247
